CAD_E|CASLU11004372//5/26/2011 12:00:25 AM
CAD_U|CASLU|E3477|AIQ|20110525235949|A-36B|||//5/26/2011 12:00:25 AM
CAD_U|CACDF|C406|AIQ|20110523075440|BVHB|||//5/26/2011 12:18:44 AM
CAD_U|CACDF|C406|AIQ|20110523075440|BVHB|||//5/26/2011 12:18:44 AM
CAD_U|CABEU|D4641|AIQ|20110515081356|BEU-30|||//5/26/2011 12:18:45 AM
CAD_U|CABEU|D4641|AIQ|20110515081356|BEU-30|||//5/26/2011 12:18:45 AM
CAD_U|CABEU|D4641|AIQ|20110515081356|BEU-30|||//5/26/2011 12:18:45 AM
CAD_U|CABEU|D4643|AIQ|20110525075639|BEU-30|||//5/26/2011 12:18:46 AM
CAD_U|CABEU|D4643|AIQ|20110525075639|BEU-30|||//5/26/2011 12:18:46 AM
CAD_U|CABEU|D4643|AIQ|20110525075639|BEU-30|||//5/26/2011 12:18:46 AM
CAD_U|CABEU|D4645|AIQ|20110329074753|BEU-30|||//5/26/2011 12:18:47 AM
CAD_U|CABEU|D4645|AIQ|20110329074753|BEU-30|||//5/26/2011 12:18:47 AM
CAD_U|CABEU|D4645|AIQ|20110329074753|BEU-30|||//5/26/2011 12:18:47 AM
CAD_U|CABEU|E4664|AIQ|20110213124449|BEU-31|||//5/26/2011 12:18:48 AM
CAD_U|CABEU|E4664|AIQ|20110213124449|BEU-31|||//5/26/2011 12:18:48 AM
CAD_U|CABEU|E4664|AIQ|20110213124449|BEU-31|||//5/26/2011 12:18:48 AM
CAD_U|CABEU|E4675|AIQ|20110523072043|BEU-30|||//5/26/2011 12:18:49 AM
CAD_U|CABEU|E4675|AIQ|20110523072043|BEU-30|||//5/26/2011 12:18:49 AM
CAD_U|CABEU|E4675|AIQ|20110523072043|BEU-30|||//5/26/2011 12:18:49 AM
CAD_U|CABEU|E4679|AIQ|20110421182607|BEU-30|||//5/26/2011 12:18:50 AM
CAD_U|CABEU|E4679|AIQ|20110421182607|BEU-30|||//5/26/2011 12:18:50 AM
CAD_U|CABEU|E4679|AIQ|20110421182607|BEU-30|||//5/26/2011 12:18:50 AM
CAD_U|CABEU|E4681|AIQ|20110523075615|BEU-30|||//5/26/2011 12:18:52 AM
CAD_U|CABEU|E4681|AIQ|20110523075615|BEU-30|||//5/26/2011 12:18:52 AM
CAD_U|CABEU|E4681|AIQ|20110523075615|BEU-30|||//5/26/2011 12:18:52 AM
CAD_U|CABEU|E4693|AIQ|20110507073447|BEU-30|||//5/26/2011 12:18:53 AM
CAD_U|CABEU|E4693|AIQ|20110507073447|BEU-30|||//5/26/2011 12:18:53 AM
CAD_U|CABEU|E4693|AIQ|20110507073447|BEU-30|||//5/26/2011 12:18:53 AM
CAD_U|CABEU|GAB1|AIQ|20110523063407|BEU-30|||//5/26/2011 12:18:54 AM
CAD_U|CABEU|GAB1|AIQ|20110523063407|BEU-30|||//5/26/2011 12:18:54 AM
CAD_U|CABEU|GAB1|AIQ|20110523063407|BEU-30|||//5/26/2011 12:18:54 AM
CAD_U|CABEU|GAB2|AIQ|20110521073130|BEU-30|||//5/26/2011 12:18:55 AM
CAD_U|CABEU|GAB2|AIQ|20110521073130|BEU-30|||//5/26/2011 12:18:55 AM
CAD_U|CABEU|GAB2|AIQ|20110521073130|BEU-30|||//5/26/2011 12:18:55 AM
CAD_U|CABEU|GAB3|AIQ|20110523063528|BEU-30|||//5/26/2011 12:18:56 AM
CAD_U|CABEU|GAB3|AIQ|20110523063528|BEU-30|||//5/26/2011 12:18:56 AM
CAD_U|CABEU|GAB3|AIQ|20110523063528|BEU-30|||//5/26/2011 12:18:56 AM
CAD_U|CABEU|GAB4|AIQ|20110523063605|BEU-30|||//5/26/2011 12:18:57 AM
CAD_U|CABEU|GAB4|AIQ|20110523063605|BEU-30|||//5/26/2011 12:18:57 AM
CAD_U|CABEU|GAB4|AIQ|20110523063605|BEU-30|||//5/26/2011 12:18:57 AM
CAD_U|CABEU|GAB5|AIQ|20110524073708|BEU-30|||//5/26/2011 12:18:58 AM
CAD_U|CABEU|GAB5|AIQ|20110524073708|BEU-30|||//5/26/2011 12:18:58 AM
CAD_U|CABEU|GAB5|AIQ|20110524073708|BEU-30|||//5/26/2011 12:18:58 AM
CAD_U|CABEU|GAB6|AIQ|20110521073248|BEU-30|||//5/26/2011 12:18:59 AM
CAD_U|CABEU|GAB6|AIQ|20110521073248|BEU-30|||//5/26/2011 12:18:59 AM
CAD_U|CABEU|GAB6|AIQ|20110521073248|BEU-30|||//5/26/2011 12:18:59 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//5/26/2011 12:19:00 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//5/26/2011 12:19:00 AM
CAD_U|CAFKU|D4340|AIQ|20110513155256|FKU-1A|||//5/26/2011 12:19:00 AM
CAD_U|CAFKU|D4341|AIQ|20110502083100|FKU-1A|||//5/26/2011 12:19:02 AM
CAD_U|CAFKU|D4341|AIQ|20110502083100|FKU-1A|||//5/26/2011 12:19:02 AM
CAD_U|CAFKU|E4354|AIQ|20110525000839|FKU-1A|||//5/26/2011 12:19:03 AM
CAD_U|CAFKU|E4354|AIQ|20110525000839|FKU-1A|||//5/26/2011 12:19:03 AM
CAD_U|CAFKU|E4361|AIQ|20110523180840|FKU-1A|||//5/26/2011 12:19:04 AM
CAD_U|CAFKU|E4361|AIQ|20110523180840|FKU-1A|||//5/26/2011 12:19:04 AM
CAD_U|CAFKU|E4361|AIQ|20110523180840|FKU-1A|||//5/26/2011 12:19:04 AM
CAD_U|CAFKU|E4362|AIQ|20110524113901|FKU-2|||//5/26/2011 12:19:05 AM
CAD_U|CAFKU|E4362|AIQ|20110524113901|FKU-2|||//5/26/2011 12:19:05 AM
CAD_U|CAFKU|E4362|AIQ|20110524113901|FKU-2|||//5/26/2011 12:19:05 AM
CAD_U|CAFKU|E4368|AIQ|20110523091530|FKU-2|||//5/26/2011 12:19:06 AM
CAD_U|CAFKU|E4368|AIQ|20110523091530|FKU-2|||//5/26/2011 12:19:06 AM
CAD_U|CAFKU|E4368|AIQ|20110523091530|FKU-2|||//5/26/2011 12:19:06 AM
CAD_U|CAFKU|E4373|AIQ|20110523182916|FKU-2|||//5/26/2011 12:19:07 AM
CAD_U|CAFKU|E4373|AIQ|20110523182916|FKU-2|||//5/26/2011 12:19:07 AM
CAD_U|CAFKU|E4373|AIQ|20110523182916|FKU-2|||//5/26/2011 12:19:07 AM
CAD_U|CAFKU|E4382|AIQ|20110525141157|FKU-2|||//5/26/2011 12:19:08 AM
CAD_U|CAFKU|E4382|AIQ|20110525141157|FKU-2|||//5/26/2011 12:19:08 AM
CAD_U|CAFKU|E4382|AIQ|20110525141157|FKU-2|||//5/26/2011 12:19:08 AM
CAD_U|CAFKU|E4383|AIQ|20110517134932|FKU-1A|||//5/26/2011 12:19:09 AM
CAD_U|CAFKU|E4383|AIQ|20110517134932|FKU-1A|||//5/26/2011 12:19:09 AM
CAD_U|CAFKU|E4383|AIQ|20110517134932|FKU-1A|||//5/26/2011 12:19:09 AM
CAD_U|CAFKU|E4391|AIQ|20110523180724|FKU-2|||//5/26/2011 12:19:10 AM
CAD_U|CAFKU|E4391|AIQ|20110523180724|FKU-2|||//5/26/2011 12:19:10 AM
CAD_U|CAFKU|E4391|AIQ|20110523180724|FKU-2|||//5/26/2011 12:19:10 AM
CAD_U|CAFKU|MIR1|AIQ|20110523081504|FKU-2|||//5/26/2011 12:19:12 AM
CAD_U|CAFKU|MIR1|AIQ|20110523081504|FKU-2|||//5/26/2011 12:19:12 AM
CAD_U|CAFKU|MIR1|AIQ|20110523081504|FKU-2|||//5/26/2011 12:19:12 AM
CAD_U|CAFKU|MIR2|AIQ|20110523081511|FKU-2|||//5/26/2011 12:19:13 AM
CAD_U|CAFKU|MIR2|AIQ|20110523081511|FKU-2|||//5/26/2011 12:19:13 AM
CAD_U|CAFKU|MIR2|AIQ|20110523081511|FKU-2|||//5/26/2011 12:19:13 AM
CAD_U|CAFKU|MIR3|AIQ|20110523081512|FKU-1A|||//5/26/2011 12:19:14 AM
CAD_U|CAFKU|MIR3|AIQ|20110523081512|FKU-1A|||//5/26/2011 12:19:14 AM
CAD_U|CAFKU|MIR3|AIQ|20110523081512|FKU-1A|||//5/26/2011 12:19:14 AM
CAD_U|CAFKU|MIR4|AIQ|20110509083856|FKU-2|||//5/26/2011 12:19:15 AM
CAD_U|CAFKU|MIR4|AIQ|20110509083856|FKU-2|||//5/26/2011 12:19:15 AM
CAD_U|CAFKU|MIR4|AIQ|20110509083856|FKU-2|||//5/26/2011 12:19:15 AM
CAD_U|CACDF|AA430|AIQ|20110501202736|FAAB|||//5/26/2011 12:19:31 AM
CAD_U|CACDF|AA430|AIQ|20110501202736|FAAB|||//5/26/2011 12:19:31 AM
CAD_U|CACDF|C406|AIQ|20110525130947|BVHB|||//5/26/2011 12:19:32 AM
CAD_U|CACDF|C406|AIQ|20110525130947|BVHB|||//5/26/2011 12:19:32 AM
CAD_U|CABEU|D4641|AIQ|20110309083030|BEU-30|||//5/26/2011 12:19:33 AM
CAD_U|CABEU|D4641|AIQ|20110309083030|BEU-30|||//5/26/2011 12:19:33 AM
CAD_U|CABEU|D4641|AIQ|20110309083030|BEU-30|||//5/26/2011 12:19:33 AM
CAD_U|CABEU|D4643|AIQ|20110213124446|BEU-30|||//5/26/2011 12:19:34 AM
CAD_U|CABEU|D4643|AIQ|20110213124446|BEU-30|||//5/26/2011 12:19:34 AM
CAD_U|CABEU|D4643|AIQ|20110213124446|BEU-30|||//5/26/2011 12:19:34 AM
CAD_U|CAFKU|D4340|AIQ|20110501220032|FKU-1A|||//5/26/2011 12:19:35 AM
