CAD_E|CAPSM11005137|CASLU2011004492|PA|20110616235330|PAO|PA, PUBLIC ASSIST|-120.685115|35.160955|135 SEACLIFF DR |PB|2599 BLK RUBY CT|165 BLK PADDOCK AVE|693_G_6/09_T32S_R12E_M||||E3470|Command:FIVE CITIES Pri Tactical:CALCORD //6/17/2011 12:03:24 AM
CAD_U|CASLU|E3470|ONS|20110617000318|A-32L|11005137|PAO|CASLU2011004492//6/17/2011 12:03:24 AM
CAD_E|CAPSM11005137//6/17/2011 12:09:41 AM
CAD_U|CASLU|E3470|AIQ|20110617000935|A-32L|||//6/17/2011 12:09:41 AM
CAD_U|CACDF|C406|AIQ|20110527115350|BVHB|||//6/17/2011 12:38:11 AM
CAD_U|CACDF|C406|AIQ|20110527115350|BVHB|||//6/17/2011 12:38:11 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//6/17/2011 12:38:12 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//6/17/2011 12:38:12 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//6/17/2011 12:38:12 AM
CAD_U|CACDF|C406|AIQ|20110602082638|BVHB|||//6/17/2011 12:38:12 AM
CAD_U|CACDF|C406|AIQ|20110602082638|BVHB|||//6/17/2011 12:38:12 AM
CAD_U|CACDF|C406|AIQ|20110602082638|BVHB|||//6/17/2011 12:38:13 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//6/17/2011 12:38:13 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//6/17/2011 12:38:13 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//6/17/2011 12:38:13 AM
CAD_U|CABEU|D4641|AIQ|20110609075020|BEU-30|||//6/17/2011 12:38:14 AM
CAD_U|CABEU|D4641|AIQ|20110609075020|BEU-30|||//6/17/2011 12:38:14 AM
CAD_U|CABEU|D4641|AIQ|20110609075020|BEU-30|||//6/17/2011 12:38:14 AM
CAD_U|CABEU|E4660|AIQ|20110610145524|BEU-30|||//6/17/2011 12:38:14 AM
