CAD_E|CASLC11007346//8/14/2011 12:11:59 AM
CAD_U|CASLU|E3461|AIQ|20110814001159|D-15A|||//8/14/2011 12:11:59 AM
CAD_E|USPVT11007350|CASLU||20110814001501|MEDF|MED, FLIGHT|-120.448602|34.890818|TWIN CITIES TO STANFORD|OOJ|||816_F_2/03_T09N_R34W_S||-120.447842|34.890797||Command:LOCAL Pri Tactical:SBC C3 Alt Tactical:SBC C2 //8/14/2011 12:15:01 AM
CAD_E|USPVT11007350|CASLU||20110814001501|MEDF|MED, FLIGHT|-120.448602|34.890818|TWIN CITIES TO STANFORD|OOJ|||816_F_2/03_T09N_R34W_S||-120.447842|34.890797||Command:LOCAL Pri Tactical:SBC C3 Alt Tactical:SBC C2 //8/14/2011 12:15:01 AM
CAD_E|USPVT11007350|CASLU||20110814001501|MEDF|MED, FLIGHT|-120.448602|34.890818|TWIN CITIES TO STANFORD|OOJ|||816_F_2/03_T09N_R34W_S||-120.447842|34.890797||Command:LOCAL Pri Tactical:SBC C3 Alt Tactical:SBC C2 //8/14/2011 12:15:02 AM
CAD_E|USPVT11007350|CASLU2011006437|CS7|20110814001501|MEDF|MED, FLIGHT|-120.448602|34.890818|TWIN CITIES TO STANFORD|OOJ|||816_F_2/03_T09N_R34W_S||-120.447842|34.890797|CS7|Command:LOCAL Pri Tactical:SBC C3 Alt Tactical:SBC C2 //8/14/2011 12:15:03 AM
CAD_E|USPVT11007350|CASLU2011006437|CS7|20110814001501|MEDF|MED, FLIGHT|-120.448602|34.890818|TWIN CITIES TO STANFORD|OOJ|||816_F_2/03_T09N_R34W_S||-120.447842|34.890797|CS7|Command:LOCAL Pri Tactical:SBC C3 Alt Tactical:SBC C2 //8/14/2011 12:15:03 AM
CAD_U|USPVT|CS7|DSP|20110814001503|CS7|11007350|MEDF|CASLU2011006437//8/14/2011 12:15:03 AM
CAD_E|USPVT11007350|CASLU2011006437|CS7|20110814001501|MEDF|MED, FLIGHT|-120.448602|34.890818|TWIN CITIES TO STANFORD|OOJ|||816_F_2/03_T09N_R34W_S||-120.447842|34.890797|CS7|Command:LOCAL Pri Tactical:SBC C3 Alt Tactical:SBC C2 //8/14/2011 12:15:05 AM
CAD_U|USPVT|CS7|ACK|20110814001506|CS7|11007350|MEDF|CASLU2011006437//8/14/2011 12:15:05 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//8/14/2011 12:18:03 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//8/14/2011 12:18:03 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//8/14/2011 12:18:04 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//8/14/2011 12:18:04 AM
