CAD_E|CASLC11010192//11/8/2011 12:07:27 AM
CAD_U|CASLC|ME22|AIQ|20111108000731|N-3A|||//11/8/2011 12:07:27 AM
CAD_U|CACDF|C406|AIQ|20110906155506|BVHB|||//11/8/2011 12:18:10 AM
CAD_U|CACDF|C406|AIQ|20110906155506|BVHB|||//11/8/2011 12:18:10 AM
CAD_U|CABEU|D4641|AIQ|20111102085629|BEU-30|||//11/8/2011 12:18:11 AM
CAD_U|CABEU|D4641|AIQ|20111102085629|BEU-30|||//11/8/2011 12:18:11 AM
CAD_U|CABEU|D4641|AIQ|20111102085629|BEU-30|||//11/8/2011 12:18:11 AM
CAD_U|CABEU|D4643|AIQ|20110904172502|BEU-30|||//11/8/2011 12:18:12 AM
CAD_U|CABEU|D4643|AIQ|20110904172502|BEU-30|||//11/8/2011 12:18:12 AM
CAD_U|CABEU|D4643|AIQ|20110904172502|BEU-30|||//11/8/2011 12:18:12 AM
CAD_U|CABEU|D4645|AIQ|20110914150741|BEU-30|||//11/8/2011 12:18:13 AM
CAD_U|CABEU|D4645|AIQ|20110914150741|BEU-30|||//11/8/2011 12:18:14 AM
CAD_U|CABEU|D4645|AIQ|20110914150741|BEU-30|||//11/8/2011 12:18:14 AM
CAD_U|CABEU|E4656|AIQ|20111024081116|BEU-30|||//11/8/2011 12:18:15 AM
CAD_U|CABEU|E4656|AIQ|20111024081116|BEU-30|||//11/8/2011 12:18:15 AM
CAD_U|CABEU|E4656|AIQ|20111024081116|BEU-30|||//11/8/2011 12:18:15 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//11/8/2011 12:18:16 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//11/8/2011 12:18:16 AM
CAD_U|CABEU|E4660|AIQ|20110702081326|BEU-30|||//11/8/2011 12:18:16 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/8/2011 12:18:17 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/8/2011 12:18:17 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//11/8/2011 12:18:17 AM
CAD_U|CABEU|E4664|AIQ|20110914102104|BEU-31|||//11/8/2011 12:18:18 AM
CAD_U|CABEU|E4664|AIQ|20110914102104|BEU-31|||//11/8/2011 12:18:18 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//11/8/2011 12:18:19 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//11/8/2011 12:18:19 AM
CAD_U|CABEU|E4673|AIQ|20110731180118|BEU-30|||//11/8/2011 12:18:19 AM
CAD_U|CABEU|E4674|AIQ|20110904204426|BEU-30|||//11/8/2011 12:18:20 AM
CAD_U|CABEU|E4674|AIQ|20110904204426|BEU-30|||//11/8/2011 12:18:20 AM
CAD_U|CABEU|E4675|AIQ|20111024080933|BEU-30|||//11/8/2011 12:18:21 AM
CAD_U|CABEU|E4675|AIQ|20111024080933|BEU-30|||//11/8/2011 12:18:21 AM
CAD_U|CABEU|E4675|AIQ|20111024080933|BEU-30|||//11/8/2011 12:18:21 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//11/8/2011 12:18:22 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//11/8/2011 12:18:22 AM
CAD_U|CABEU|E4677|AIQ|20110723093608|BEU-30|||//11/8/2011 12:18:22 AM
CAD_U|CABEU|E4681|AIQ|20110826084338|BEU-30|||//11/8/2011 12:18:24 AM
CAD_U|CABEU|E4681|AIQ|20110826084338|BEU-30|||//11/8/2011 12:18:24 AM
CAD_U|CABEU|E4681|AIQ|20110826084338|BEU-30|||//11/8/2011 12:18:24 AM
CAD_U|CABEU|E4693|AIQ|20110702224734|BEU-30|||//11/8/2011 12:18:25 AM
CAD_U|CABEU|E4693|AIQ|20110702224734|BEU-30|||//11/8/2011 12:18:25 AM
CAD_U|CABEU|E4693|AIQ|20110702224734|BEU-30|||//11/8/2011 12:18:25 AM
CAD_U|CABEU|E4694|AIQ|20111030141517|BEU-30|||//11/8/2011 12:18:26 AM
CAD_U|CABEU|E4694|AIQ|20111030141517|BEU-30|||//11/8/2011 12:18:26 AM
CAD_U|CABEU|GAB1|AIQ|20111018052030|BEU-30|||//11/8/2011 12:18:27 AM
