CAD_E|CAPSM11010571//11/21/2011 12:04:10 AM
CAD_U|CAPSM|E64|AIQ|20111121000416|A-32M|||//11/21/2011 12:04:10 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//11/21/2011 12:09:01 AM
CAD_U|CACDF|C406|AIQ|20110711170935|BVHB|||//11/21/2011 12:09:01 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/21/2011 12:09:02 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/21/2011 12:09:02 AM
CAD_U|CABEU|D4641|AIQ|20110628164008|BEU-30|||//11/21/2011 12:09:02 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/21/2011 12:09:03 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/21/2011 12:09:03 AM
CAD_U|CABEU|D4643|AIQ|20110610132743|BEU-30|||//11/21/2011 12:09:03 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/21/2011 12:09:04 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/21/2011 12:09:04 AM
CAD_U|CABEU|D4645|AIQ|20110610132745|BEU-30|||//11/21/2011 12:09:04 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/21/2011 12:09:05 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/21/2011 12:09:05 AM
CAD_U|CACDF|AA430|AIQ|20110601153828|FAAB|||//11/21/2011 12:09:05 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/21/2011 12:09:06 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/21/2011 12:09:06 AM
CAD_U|CABEU|E4660|AIQ|20110711141007|BEU-30|||//11/21/2011 12:09:06 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/21/2011 12:09:07 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/21/2011 12:09:07 AM
CAD_U|CABEU|E4661|AIQ|20110711141010|BEU-30|||//11/21/2011 12:09:07 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/21/2011 12:09:09 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/21/2011 12:09:09 AM
CAD_U|CABEU|E4663|AIQ|20110628162820|BEU-30|||//11/21/2011 12:09:09 AM
CAD_U|CABEU|E4664|AIQ|20111015131220|BEU-31|||//11/21/2011 12:09:10 AM
CAD_U|CABEU|E4664|AIQ|20111015131220|BEU-31|||//11/21/2011 12:09:10 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/21/2011 12:09:11 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/21/2011 12:09:11 AM
CAD_U|CABEU|E4665|AIQ|20110610145524|BEU-30|||//11/21/2011 12:09:11 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/21/2011 12:09:12 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/21/2011 12:09:12 AM
CAD_U|CABEU|E4666|AIQ|20110628164015|BEU-30|||//11/21/2011 12:09:12 AM
