CAD_U|CASLU|B3414|AOR|20120421000951|K-11B|||//4/21/2012 12:10:03 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//4/21/2012 12:28:16 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//4/21/2012 12:28:16 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//4/21/2012 12:28:16 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 12:28:17 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 12:28:17 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 12:28:17 AM
CAD_U|CABEU|E4663|AIQ|20120419110146|BEU-30|||//4/21/2012 12:28:18 AM
CAD_U|CABEU|E4663|AIQ|20120419110146|BEU-30|||//4/21/2012 12:28:18 AM
CAD_U|CABEU|E4663|AIQ|20120419110146|BEU-30|||//4/21/2012 12:28:18 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//4/21/2012 12:28:19 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//4/21/2012 12:28:19 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//4/21/2012 12:28:19 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//4/21/2012 12:28:20 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//4/21/2012 12:28:20 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//4/21/2012 12:28:20 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//4/21/2012 12:28:21 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//4/21/2012 12:28:21 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//4/21/2012 12:28:21 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//4/21/2012 12:28:22 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//4/21/2012 12:28:22 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//4/21/2012 12:28:23 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//4/21/2012 12:28:24 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//4/21/2012 12:28:24 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//4/21/2012 12:28:24 AM
CAD_U|CABEU|D4643|AIQ|20120420200150|BEU-30|||//4/21/2012 12:28:25 AM
CAD_U|CABEU|D4643|AIQ|20120420200150|BEU-30|||//4/21/2012 12:28:25 AM
CAD_U|CABEU|D4643|AIQ|20120420200150|BEU-30|||//4/21/2012 12:28:25 AM
CAD_U|CABEU|E4664|AIQ|20120419112239|BEU-31|||//4/21/2012 12:28:25 AM
CAD_U|CABEU|E4664|AIQ|20120419112239|BEU-31|||//4/21/2012 12:28:25 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 12:28:26 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 12:28:26 AM
CAD_U|CABEU|E4661|AIQ|20111020102317|BEU-30|||//4/21/2012 12:28:26 AM
CAD_U|CABEU|E4665|AIQ|20120419110149|BEU-30|||//4/21/2012 12:28:26 AM
CAD_U|CABEU|E4665|AIQ|20120419110149|BEU-30|||//4/21/2012 12:28:26 AM
CAD_U|CABEU|E4665|AIQ|20120419110149|BEU-30|||//4/21/2012 12:28:26 AM
CAD_U|CABEU|E4675|AIQ|20120420193955|BEU-30|||//4/21/2012 12:28:27 AM
CAD_U|CABEU|E4675|AIQ|20120420193955|BEU-30|||//4/21/2012 12:28:27 AM
CAD_U|CABEU|E4675|AIQ|20120420193955|BEU-30|||//4/21/2012 12:28:27 AM
CAD_U|CABEU|E4666|AIQ|20120419110150|BEU-30|||//4/21/2012 12:28:27 AM
CAD_U|CABEU|E4666|AIQ|20120419110150|BEU-30|||//4/21/2012 12:28:27 AM
CAD_U|CABEU|E4666|AIQ|20120419110150|BEU-30|||//4/21/2012 12:28:27 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//4/21/2012 12:28:28 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//4/21/2012 12:28:28 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//4/21/2012 12:28:28 AM
CAD_U|CABEU|E4691|AIQ|20120418080208|BEU-30|||//4/21/2012 12:28:28 AM
CAD_U|CABEU|E4691|AIQ|20120418080208|BEU-30|||//4/21/2012 12:28:28 AM
CAD_U|CABEU|E4691|AIQ|20120418080208|BEU-30|||//4/21/2012 12:28:28 AM
CAD_U|CABEU|E4674|AIQ|20120419112239|BEU-30|||//4/21/2012 12:28:29 AM
CAD_U|CABEU|E4674|AIQ|20120419112239|BEU-30|||//4/21/2012 12:28:29 AM
CAD_U|CABEU|E4693|AIQ|20120419153303|BEU-30|||//4/21/2012 12:28:29 AM
CAD_U|CABEU|E4693|AIQ|20120419153303|BEU-30|||//4/21/2012 12:28:29 AM
CAD_U|CABEU|E4693|AIQ|20120419153303|BEU-30|||//4/21/2012 12:28:29 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//4/21/2012 12:28:30 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//4/21/2012 12:28:30 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//4/21/2012 12:28:30 AM
CAD_U|CABEU|GAB1|AIQ|20120420201638|BEU-30|||//4/21/2012 12:28:31 AM
CAD_U|CABEU|GAB1|AIQ|20120420201638|BEU-30|||//4/21/2012 12:28:31 AM
CAD_U|CABEU|GAB1|AIQ|20120420201638|BEU-30|||//4/21/2012 12:28:31 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//4/21/2012 12:28:31 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//4/21/2012 12:28:31 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//4/21/2012 12:28:32 AM
CAD_U|CABEU|GAB2|AIQ|20120416070506|BEU-30|||//4/21/2012 12:28:32 AM
CAD_U|CABEU|GAB2|AIQ|20120416070506|BEU-30|||//4/21/2012 12:28:32 AM
CAD_U|CABEU|GAB2|AIQ|20120416070506|BEU-30|||//4/21/2012 12:28:32 AM
CAD_U|CABEU|E4677|AIQ|20120419110154|BEU-30|||//4/21/2012 12:28:33 AM
CAD_U|CABEU|E4677|AIQ|20120419110154|BEU-30|||//4/21/2012 12:28:33 AM
CAD_U|CABEU|E4677|AIQ|20120419110154|BEU-30|||//4/21/2012 12:28:33 AM
CAD_U|CABEU|GAB3|AIQ|20120409070657|BEU-30|||//4/21/2012 12:28:33 AM
CAD_U|CABEU|GAB3|AIQ|20120409070657|BEU-30|||//4/21/2012 12:28:33 AM
CAD_U|CABEU|GAB3|AIQ|20120409070657|BEU-30|||//4/21/2012 12:28:33 AM
