CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:07 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:07 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E64,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:00:13 AM
CAD_U|CASLU|B3416|ONS|20120503234252|A-22B|12003870|FSR|CASLU2012003413//5/4/2012 12:02:55 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||B3416,E21,BS62,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:05:27 AM
CAD_U|CAPSM|E64|AIQ|20120504000527|A-32M|||//5/4/2012 12:05:27 AM
CAD_U|CAPSM|E63|AIQ|20120504000538|A-32L|||//5/4/2012 12:05:37 AM
CAD_E|CASLU12003870|CASLU2012003413|HUASNA|20120503225748|FSR|FIRE, RESIDENTIAL|-120.517171|35.137788|3389 HUASNA RD |SLO_CO|3200 BLK EL RANCHO LN|3400 BLK SUNDOWN LN|715_G_3/18_T32S_R14E_M||||E21,BS62,E6696,WT21|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:TAC2;//5/4/2012 12:05:51 AM
CAD_U|CASLU|B3416|AIQ|20120504000551|A-22B|||//5/4/2012 12:05:51 AM
CAD_U|CACDF|C406|AIQ|20120430072918|BVHB|||//5/4/2012 12:08:09 AM
CAD_U|CACDF|C406|AIQ|20120430072918|BVHB|||//5/4/2012 12:08:09 AM
CAD_U|CABEU|D4643|AIQ|20120420200150|BEU-30|||//5/4/2012 12:08:10 AM
CAD_U|CABEU|D4643|AIQ|20120420200150|BEU-30|||//5/4/2012 12:08:10 AM
CAD_U|CABEU|D4643|AIQ|20120420200150|BEU-30|||//5/4/2012 12:08:10 AM
CAD_U|CABEU|D4645|AIQ|20120501080726|BEU-30|||//5/4/2012 12:08:11 AM
CAD_U|CABEU|D4645|AIQ|20120501080726|BEU-30|||//5/4/2012 12:08:11 AM
CAD_U|CABEU|D4645|AIQ|20120501080726|BEU-30|||//5/4/2012 12:08:12 AM
CAD_U|CABEU|E4665|AIQ|20120502071840|BEU-30|||//5/4/2012 12:08:13 AM
CAD_U|CABEU|E4665|AIQ|20120502071840|BEU-30|||//5/4/2012 12:08:13 AM
CAD_U|CABEU|E4665|AIQ|20120502071840|BEU-30|||//5/4/2012 12:08:13 AM
CAD_U|CABEU|E4673|AIQ|20120430065200|BEU-30|||//5/4/2012 12:08:14 AM
CAD_U|CABEU|E4673|AIQ|20120430065200|BEU-30|||//5/4/2012 12:08:14 AM
CAD_U|CABEU|E4673|AIQ|20120430065200|BEU-30|||//5/4/2012 12:08:14 AM
CAD_U|CABEU|E4674|AIQ|20120430065008|BEU-30|||//5/4/2012 12:08:15 AM
CAD_U|CABEU|E4674|AIQ|20120430065008|BEU-30|||//5/4/2012 12:08:15 AM
CAD_U|CABEU|E4675|AIQ|20120503185607|BEU-30|||//5/4/2012 12:08:16 AM
CAD_U|CABEU|E4675|AIQ|20120503185607|BEU-30|||//5/4/2012 12:08:16 AM
CAD_U|CABEU|E4675|AIQ|20120503185607|BEU-30|||//5/4/2012 12:08:16 AM
CAD_U|CABEU|E4677|AIQ|20120430065005|BEU-30|||//5/4/2012 12:08:17 AM
