CAD_U|CASLC|ME20|RTQ|20120720000050|E-19B|12006633|MED|CASLU2012005800//7/20/2012 12:00:50 AM
CAD_U|CAFKU|E4352|AIQ|20120709141216|FKU-2|||//7/20/2012 12:02:08 AM
CAD_U|CAFKU|E4352|AIQ|20120709141216|FKU-2|||//7/20/2012 12:02:08 AM
CAD_U|CAFKU|E4352|AIQ|20120709141216|FKU-2|||//7/20/2012 12:02:08 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//7/20/2012 12:07:01 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//7/20/2012 12:07:01 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//7/20/2012 12:07:01 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//7/20/2012 12:07:02 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//7/20/2012 12:07:02 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//7/20/2012 12:07:02 AM
CAD_U|CAFKU|E4352|AIQ|20120709141216|FKU-2|||//7/20/2012 12:07:02 AM
CAD_U|CAFKU|E4352|AIQ|20120709141216|FKU-2|||//7/20/2012 12:07:02 AM
CAD_U|CAFKU|E4352|AIQ|20120709141216|FKU-2|||//7/20/2012 12:07:02 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//7/20/2012 12:07:03 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//7/20/2012 12:07:03 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//7/20/2012 12:07:03 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//7/20/2012 12:07:04 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//7/20/2012 12:07:04 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//7/20/2012 12:07:04 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//7/20/2012 12:07:05 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//7/20/2012 12:07:05 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//7/20/2012 12:07:06 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//7/20/2012 12:07:06 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//7/20/2012 12:07:06 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//7/20/2012 12:07:07 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//7/20/2012 12:07:07 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//7/20/2012 12:07:08 AM
CAD_U|CAFKU|E4354|AIQ|20120621215402|FKU-1A|||//7/20/2012 12:07:09 AM
CAD_U|CAFKU|E4354|AIQ|20120621215402|FKU-1A|||//7/20/2012 12:07:09 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//7/20/2012 12:07:10 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//7/20/2012 12:07:10 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//7/20/2012 12:07:10 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//7/20/2012 12:07:11 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//7/20/2012 12:07:11 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//7/20/2012 12:07:11 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//7/20/2012 12:07:12 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//7/20/2012 12:07:12 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//7/20/2012 12:07:12 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//7/20/2012 12:07:13 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//7/20/2012 12:07:13 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//7/20/2012 12:07:13 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//7/20/2012 12:07:14 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//7/20/2012 12:07:14 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//7/20/2012 12:07:14 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//7/20/2012 12:07:15 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//7/20/2012 12:07:15 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//7/20/2012 12:07:15 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//7/20/2012 12:07:16 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//7/20/2012 12:07:16 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//7/20/2012 12:07:16 AM
CAD_U|CABEU|E4694|AIQ|20120621215402|BEU-30|||//7/20/2012 12:07:17 AM
CAD_U|CABEU|E4694|AIQ|20120621215402|BEU-30|||//7/20/2012 12:07:18 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//7/20/2012 12:07:19 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//7/20/2012 12:07:19 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//7/20/2012 12:07:19 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//7/20/2012 12:07:20 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//7/20/2012 12:07:20 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//7/20/2012 12:07:20 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//7/20/2012 12:07:21 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//7/20/2012 12:07:21 AM
CAD_U|CABEU|GAB4|AIQ|20120402073948|BEU-30|||//7/20/2012 12:07:21 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//7/20/2012 12:07:22 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//7/20/2012 12:07:22 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//7/20/2012 12:07:22 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//7/20/2012 12:07:23 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//7/20/2012 12:07:23 AM
CAD_U|CACDF|T80|AIQ|20120704103913|HAAB|||//7/20/2012 12:07:23 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//7/20/2012 12:07:24 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//7/20/2012 12:07:24 AM
CAD_U|CACDF|T81|AIQ|20120704103755|HAAB|||//7/20/2012 12:07:24 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//7/20/2012 12:07:25 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//7/20/2012 12:07:25 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//7/20/2012 12:07:25 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//7/20/2012 12:07:26 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//7/20/2012 12:07:26 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//7/20/2012 12:07:26 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//7/20/2012 12:07:27 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//7/20/2012 12:07:27 AM
