CAD_E|CASLU12007366//8/10/2012 12:01:22 AM
CAD_U|CASLC|E33|AIQ|20120810000123|H-6A|||//8/10/2012 12:01:22 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//8/10/2012 12:17:01 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//8/10/2012 12:17:02 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//8/10/2012 12:17:02 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//8/10/2012 12:17:03 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//8/10/2012 12:17:03 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//8/10/2012 12:17:04 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//8/10/2012 12:17:04 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//8/10/2012 12:17:04 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//8/10/2012 12:17:05 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//8/10/2012 12:17:05 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//8/10/2012 12:17:05 AM
CAD_U|CAFKU|E4354|AIQ|20120621215402|FKU-1A|||//8/10/2012 12:17:06 AM
CAD_U|CAFKU|E4354|AIQ|20120621215402|FKU-1A|||//8/10/2012 12:17:06 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//8/10/2012 12:17:07 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//8/10/2012 12:17:07 AM
CAD_U|CAFKU|E4361|AIQ|20120326191502|FKU-1A|||//8/10/2012 12:17:07 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//8/10/2012 12:17:08 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//8/10/2012 12:17:08 AM
CAD_U|CAFKU|E4362|AIQ|20120321150008|FKU-2|||//8/10/2012 12:17:08 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//8/10/2012 12:17:09 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//8/10/2012 12:17:09 AM
CAD_U|CAFKU|E4363|AIQ|20120410101020|FKU-2|||//8/10/2012 12:17:09 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//8/10/2012 12:17:10 AM
CAD_U|CAFKU|E4364|AIQ|20120109174519|FKU-1A|||//8/10/2012 12:17:10 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//8/10/2012 12:17:11 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//8/10/2012 12:17:12 AM
CAD_U|CAFKU|E4368|AIQ|20120410113147|FKU-2|||//8/10/2012 12:17:12 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//8/10/2012 12:17:13 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//8/10/2012 12:17:13 AM
CAD_U|CAFKU|E4373|AIQ|20120228093045|FKU-2|||//8/10/2012 12:17:13 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//8/10/2012 12:17:14 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//8/10/2012 12:17:14 AM
CAD_U|CAFKU|E4382|AIQ|20120410133526|FKU-2|||//8/10/2012 12:17:14 AM
CAD_U|CAFKU|E4383|AIQ|20120521100621|FKU-1A|||//8/10/2012 12:17:15 AM
CAD_U|CAFKU|E4383|AIQ|20120521100621|FKU-1A|||//8/10/2012 12:17:15 AM
CAD_U|CAFKU|E4383|AIQ|20120521100621|FKU-1A|||//8/10/2012 12:17:15 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//8/10/2012 12:17:16 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//8/10/2012 12:17:16 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//8/10/2012 12:17:16 AM
