CAD_U|CACMB|E5791|ONS|20121126235136|G-16B|12010968|PAO|CASLU2012009557//11/27/2012 12:11:40 AM
CAD_E|CACMB12010968//11/27/2012 12:15:23 AM
CAD_U|CACMB|E5791|AIQ|20121127001523|G-16B|||//11/27/2012 12:15:23 AM
CAD_U|CAFKU|D4340|AIQ|20120912202056|FKU-1A|||//11/27/2012 12:18:11 AM
CAD_U|CAFKU|D4340|AIQ|20120912202056|FKU-1A|||//11/27/2012 12:18:11 AM
CAD_U|CAFKU|D4340|AIQ|20120912202056|FKU-1A|||//11/27/2012 12:18:11 AM
CAD_U|CAFKU|D4341|AIQ|20121114220627|FKU-1A|||//11/27/2012 12:18:12 AM
CAD_U|CAFKU|D4341|AIQ|20121114220627|FKU-1A|||//11/27/2012 12:18:12 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//11/27/2012 12:18:13 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//11/27/2012 12:18:13 AM
CAD_U|CAFKU|E4352|AIQ|20120913105950|FKU-2|||//11/27/2012 12:18:13 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//11/27/2012 12:18:14 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//11/27/2012 12:18:14 AM
CAD_U|CAFKU|E4353|AIQ|20121118072406|FKU-2|||//11/27/2012 12:18:14 AM
CAD_U|CAFKU|E4364|AIQ|20121124080645|FKU-1A|||//11/27/2012 12:18:16 AM
CAD_U|CAFKU|E4364|AIQ|20121124080645|FKU-1A|||//11/27/2012 12:18:16 AM
CAD_U|CAFKU|E4364|AIQ|20121124080645|FKU-1A|||//11/27/2012 12:18:16 AM
CAD_U|CAFKU|E4382|AIQ|20121115173643|FKU-2|||//11/27/2012 12:18:17 AM
CAD_U|CAFKU|E4382|AIQ|20121115173643|FKU-2|||//11/27/2012 12:18:17 AM
CAD_U|CAFKU|E4382|AIQ|20121115173643|FKU-2|||//11/27/2012 12:18:17 AM
CAD_U|CAFKU|E4391|AIQ|20121015173736|FKU-2|||//11/27/2012 12:18:18 AM
CAD_U|CAFKU|E4391|AIQ|20121015173736|FKU-2|||//11/27/2012 12:18:18 AM
CAD_U|CAFKU|E4391|AIQ|20121015173736|FKU-2|||//11/27/2012 12:18:18 AM
CAD_U|CAFKU|MIR1|AIQ|20121126081438|FKU-2|||//11/27/2012 12:18:19 AM
CAD_U|CAFKU|MIR1|AIQ|20121126081438|FKU-2|||//11/27/2012 12:18:19 AM
CAD_U|CAFKU|MIR1|AIQ|20121126081438|FKU-2|||//11/27/2012 12:18:19 AM
CAD_U|CAFKU|MIR2|AIQ|20121126081447|FKU-2|||//11/27/2012 12:18:20 AM
CAD_U|CAFKU|MIR2|AIQ|20121126081447|FKU-2|||//11/27/2012 12:18:20 AM
CAD_U|CAFKU|MIR2|AIQ|20121126081447|FKU-2|||//11/27/2012 12:18:20 AM
CAD_U|CAFKU|MIR3|AIQ|20121126081453|FKU-1A|||//11/27/2012 12:18:21 AM
CAD_U|CAFKU|MIR3|AIQ|20121126081453|FKU-1A|||//11/27/2012 12:18:21 AM
CAD_U|CAFKU|MIR3|AIQ|20121126081453|FKU-1A|||//11/27/2012 12:18:21 AM
CAD_U|CAFKU|MIR4|AIQ|20121126081501|FKU-2|||//11/27/2012 12:18:22 AM
CAD_U|CAFKU|MIR4|AIQ|20121126081501|FKU-2|||//11/27/2012 12:18:22 AM
CAD_U|CAFKU|MIR4|AIQ|20121126081501|FKU-2|||//11/27/2012 12:18:22 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//11/27/2012 12:39:50 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//11/27/2012 12:39:50 AM
CAD_U|CAFKU|D4340|AIQ|20120521154704|FKU-1A|||//11/27/2012 12:39:50 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//11/27/2012 12:39:51 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//11/27/2012 12:39:51 AM
CAD_U|CACDF|C406|AIQ|20120704103916|BVHB|||//11/27/2012 12:39:51 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//11/27/2012 12:39:53 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//11/27/2012 12:39:53 AM
CAD_U|CABEU|D4643|AIQ|20120201075123|BEU-30|||//11/27/2012 12:39:53 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//11/27/2012 12:39:54 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//11/27/2012 12:39:54 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//11/27/2012 12:39:54 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//11/27/2012 12:39:55 AM
CAD_U|CAFKU|D4341|AIQ|20120410100930|FKU-1A|||//11/27/2012 12:39:55 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//11/27/2012 12:39:56 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//11/27/2012 12:39:56 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//11/27/2012 12:39:56 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//11/27/2012 12:39:57 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//11/27/2012 12:39:57 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//11/27/2012 12:39:57 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//11/27/2012 12:39:58 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//11/27/2012 12:39:58 AM
CAD_U|CABEU|E4673|AIQ|20120417151332|BEU-30|||//11/27/2012 12:39:58 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//11/27/2012 12:39:59 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//11/27/2012 12:39:59 AM
CAD_U|CABEU|E4675|AIQ|20120417153551|BEU-30|||//11/27/2012 12:39:59 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//11/27/2012 12:40:00 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//11/27/2012 12:40:00 AM
CAD_U|CABEU|E4676|AIQ|20120419110153|BEU-30|||//11/27/2012 12:40:00 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//11/27/2012 12:40:01 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//11/27/2012 12:40:01 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//11/27/2012 12:40:01 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//11/27/2012 12:40:03 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//11/27/2012 12:40:03 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//11/27/2012 12:40:03 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//11/27/2012 12:40:04 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//11/27/2012 12:40:04 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//11/27/2012 12:40:04 AM
CAD_U|CABEU|E4694|AIQ|20120906200523|BEU-30|||//11/27/2012 12:40:05 AM
CAD_U|CABEU|E4694|AIQ|20120906200523|BEU-30|||//11/27/2012 12:40:05 AM
CAD_U|CABEU|GAB2|AIQ|20120402073807|BEU-30|||//11/27/2012 12:40:06 AM
