CAD_E|CACMB13000864//1/29/2013 12:10:47 AM
CAD_U|CACMB|E5791|AIQ|20130129001047|G-16B|||//1/29/2013 12:10:47 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 12:20:52 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 12:20:52 AM
CAD_U|CABEU|D4645|AIQ|20120704103921|BEU-30|||//1/29/2013 12:20:52 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 12:20:53 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 12:20:53 AM
CAD_U|CABEU|E4677|AIQ|20120516170920|BEU-30|||//1/29/2013 12:20:53 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 12:20:54 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 12:20:54 AM
CAD_U|CABEU|E4691|AIQ|20120419110158|BEU-30|||//1/29/2013 12:20:54 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 12:20:55 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 12:20:55 AM
CAD_U|CABEU|E4693|AIQ|20120419110159|BEU-30|||//1/29/2013 12:20:55 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 12:20:56 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 12:20:56 AM
CAD_U|CAFKU|E4352|AIQ|20120206112455|FKU-2|||//1/29/2013 12:20:56 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 12:20:57 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 12:20:57 AM
CAD_U|CAFKU|E4353|AIQ|20120410105545|FKU-2|||//1/29/2013 12:20:57 AM
CAD_U|CAFKU|E4382|AIQ|20121217141623|FKU-2|||//1/29/2013 12:20:58 AM
CAD_U|CAFKU|E4382|AIQ|20121217141623|FKU-2|||//1/29/2013 12:20:58 AM
CAD_U|CAFKU|E4382|AIQ|20121217141623|FKU-2|||//1/29/2013 12:20:58 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 12:21:00 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 12:21:00 AM
CAD_U|CABEU|GAB3|AIQ|20120704104307|BEU-30|||//1/29/2013 12:21:00 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//1/29/2013 12:21:01 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//1/29/2013 12:21:01 AM
CAD_U|CABEU|GAB6|AIQ|20120402074118|BEU-30|||//1/29/2013 12:21:01 AM
CAD_U|CAFKU|E4391|AIQ|20120410100715|FKU-2|||//1/29/2013 12:21:02 AM
