CAD_E|CASLC13002311|CASLU2013002031|EMS3CDF/|20130318231438|MED|MEDICAL AID CODE 3|-120.718896|35.193995|62 @ 1551 SPARROW ST ||6399 BLK VERDUGO RANCH WAY|6299 BLK KESTREL LN|633_B_5/633_B_5|||||Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/19/2013 12:00:55 AM
CAD_E|CASLC13002311|CASLU2013002031|EMS3CDF/|20130318231438|MED|MEDICAL AID CODE 3|-120.718896|35.193995|62 @ 1551 SPARROW ST ||6399 BLK VERDUGO RANCH WAY|6299 BLK KESTREL LN|633_B_5/633_B_5|||||Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/19/2013 12:00:55 AM
CAD_U|CASLC|BS62|AIQ|20130319000055|A-24C|||//3/19/2013 12:00:55 AM
CAD_E|CASLC13002311//3/19/2013 12:01:06 AM
CAD_U|CACDF|C406|AIQ|20130302113319|BVHB|||//3/19/2013 12:20:51 AM
CAD_U|CACDF|C406|AIQ|20130302113319|BVHB|||//3/19/2013 12:20:51 AM
CAD_U|CABEU|D4641|AIQ|20130227101454|BEU-30|||//3/19/2013 12:20:52 AM
CAD_U|CABEU|D4641|AIQ|20130227101454|BEU-30|||//3/19/2013 12:20:52 AM
CAD_U|CABEU|D4641|AIQ|20130227101454|BEU-30|||//3/19/2013 12:20:53 AM
CAD_U|CABEU|D4643|AIQ|20130226204858|BEU-30|||//3/19/2013 12:20:54 AM
CAD_U|CABEU|D4643|AIQ|20130226204858|BEU-30|||//3/19/2013 12:20:54 AM
CAD_U|CABEU|D4643|AIQ|20130226204858|BEU-30|||//3/19/2013 12:20:54 AM
CAD_U|CABEU|D4645|AIQ|20130226204901|BEU-30|||//3/19/2013 12:20:55 AM
CAD_U|CABEU|D4645|AIQ|20130226204901|BEU-30|||//3/19/2013 12:20:55 AM
CAD_U|CABEU|D4645|AIQ|20130226204901|BEU-30|||//3/19/2013 12:20:55 AM
CAD_U|CAFKU|D4340|AIQ|20130316184315|FKU-1A|||//3/19/2013 12:20:56 AM
CAD_U|CAFKU|D4340|AIQ|20130316184315|FKU-1A|||//3/19/2013 12:20:56 AM
CAD_U|CAFKU|D4340|AIQ|20130316184315|FKU-1A|||//3/19/2013 12:20:56 AM
CAD_U|CAFKU|D4341|AIQ|20130316184313|FKU-1A|||//3/19/2013 12:20:57 AM
CAD_U|CAFKU|D4341|AIQ|20130316184313|FKU-1A|||//3/19/2013 12:20:57 AM
CAD_U|CABEU|E4661|AIQ|20130316103548|BEU-30|||//3/19/2013 12:20:58 AM
CAD_U|CABEU|E4661|AIQ|20130316103548|BEU-30|||//3/19/2013 12:20:58 AM
CAD_U|CABEU|E4661|AIQ|20130316103548|BEU-30|||//3/19/2013 12:20:58 AM
CAD_U|CABEU|E4663|AIQ|20130316103550|BEU-30|||//3/19/2013 12:20:59 AM
CAD_U|CABEU|E4663|AIQ|20130316103550|BEU-30|||//3/19/2013 12:20:59 AM
CAD_U|CABEU|E4663|AIQ|20130316103550|BEU-30|||//3/19/2013 12:20:59 AM
CAD_U|CABEU|E4664|REQ|20130317134036|BEU-31|13000036|FWLH|CASLU2013000028//3/19/2013 12:20:59 AM
CAD_U|CABEU|E4664|REQ|20130317134036|BEU-31|13000036|FWLH|CASLU2013000028//3/19/2013 12:20:59 AM
CAD_U|CABEU|E4665|AIQ|20130316103552|BEU-30|||//3/19/2013 12:21:00 AM
CAD_U|CABEU|E4665|AIQ|20130316103552|BEU-30|||//3/19/2013 12:21:00 AM
CAD_U|CABEU|E4665|AIQ|20130316103552|BEU-30|||//3/19/2013 12:21:00 AM
