CAD_U|CAPSM|E63|ONS|20130326235027|A-32L|13002548|MED|CASLU2013002239//3/27/2013 12:10:31 AM
CAD_E|CAPSM13002548|CASLU2013002239|MA|20130326234320|MED|MEDICAL AID CODE 3|-120.688086|35.162929|SPYGLASS INN @ 2705 SPYGLASS DR ||2719 BLK SOLANO RD|2700 BLK SHELL BEACH RD|714_C_2/714_C_2||||E63|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/27/2013 12:10:51 AM
CAD_E|CAPSM13002548|CASLU2013002239|MA|20130326234320|MED|MEDICAL AID CODE 3|-120.688086|35.162929|SPYGLASS INN @ 2705 SPYGLASS DR ||2719 BLK SOLANO RD|2700 BLK SHELL BEACH RD|714_C_2/714_C_2||||E63|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/27/2013 12:10:51 AM
CAD_E|CAPSM13002548|CASLU2013002239|MA|20130326234320|MED|MEDICAL AID CODE 3|-120.688086|35.162929|SPYGLASS INN @ 2705 SPYGLASS DR ||2719 BLK SOLANO RD|2700 BLK SHELL BEACH RD|714_C_2/714_C_2||||E63|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/27/2013 12:24:18 AM
CAD_E|CAPSM13002548|CASLU2013002239|MA|20130326234320|MED|MEDICAL AID CODE 3|-120.688086|35.162929|SPYGLASS INN @ 2705 SPYGLASS DR ||2719 BLK SOLANO RD|2700 BLK SHELL BEACH RD|714_C_2/714_C_2||||E63|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/27/2013 12:24:18 AM
CAD_E|CAPSM13002548|CASLU2013002239|MA|20130326234320|MED|MEDICAL AID CODE 3|-120.688086|35.162929|SPYGLASS INN @ 2705 SPYGLASS DR ||2719 BLK SOLANO RD|2700 BLK SHELL BEACH RD|714_C_2/714_C_2||||E63|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/27/2013 12:24:26 AM
CAD_E|CAPSM13002548|CASLU2013002239|MA|20130326234320|MED|MEDICAL AID CODE 3|-120.688086|35.162929|SPYGLASS INN @ 2705 SPYGLASS DR ||2719 BLK SOLANO RD|2700 BLK SHELL BEACH RD|714_C_2/714_C_2||||E63|Command:FIVE CITIES;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/27/2013 12:24:26 AM
CAD_E|CAPSM13002548//3/27/2013 12:26:23 AM
CAD_U|CAPSM|E63|AIQ|20130327002623|A-32L|||//3/27/2013 12:26:23 AM
CAD_E|CAPSM13002548//3/27/2013 12:26:38 AM
CAD_U|CABEU|D4643|AIQ|20130308075320|BEU-30|||//3/27/2013 12:28:03 AM
CAD_U|CABEU|D4643|AIQ|20130308075320|BEU-30|||//3/27/2013 12:28:03 AM
CAD_U|CABEU|D4643|AIQ|20130308075320|BEU-30|||//3/27/2013 12:28:03 AM
CAD_U|CACDF|C406|AIQ|20130306071305|BVHB|||//3/27/2013 12:28:04 AM
CAD_U|CACDF|C406|AIQ|20130306071305|BVHB|||//3/27/2013 12:28:04 AM
CAD_U|CABEU|D4645|AIQ|20130323075417|BEU-30|||//3/27/2013 12:28:04 AM
CAD_U|CABEU|D4645|AIQ|20130323075417|BEU-30|||//3/27/2013 12:28:04 AM
CAD_U|CABEU|D4645|AIQ|20130323075417|BEU-30|||//3/27/2013 12:28:04 AM
CAD_U|CABEU|D4641|AIQ|20130325131456|BEU-30|||//3/27/2013 12:28:05 AM
CAD_U|CABEU|D4641|AIQ|20130325131456|BEU-30|||//3/27/2013 12:28:05 AM
CAD_U|CABEU|D4641|AIQ|20130325131456|BEU-30|||//3/27/2013 12:28:05 AM
CAD_U|CAFKU|E4352|AIQ|20130227172730|FKU-2|||//3/27/2013 12:28:05 AM
CAD_U|CAFKU|E4352|AIQ|20130227172730|FKU-2|||//3/27/2013 12:28:05 AM
CAD_U|CAFKU|E4352|AIQ|20130227172730|FKU-2|||//3/27/2013 12:28:05 AM
CAD_U|CABEU|D4643|AIQ|20130308075320|BEU-30|||//3/27/2013 12:28:06 AM
CAD_U|CABEU|D4643|AIQ|20130308075320|BEU-30|||//3/27/2013 12:28:06 AM
CAD_U|CABEU|D4643|AIQ|20130308075320|BEU-30|||//3/27/2013 12:28:06 AM
CAD_U|CAFKU|E4353|AIQ|20130321080737|FKU-2|||//3/27/2013 12:28:06 AM
CAD_U|CAFKU|E4353|AIQ|20130321080737|FKU-2|||//3/27/2013 12:28:06 AM
CAD_U|CAFKU|E4353|AIQ|20130321080737|FKU-2|||//3/27/2013 12:28:06 AM
CAD_U|CAFKU|D4341|AIQ|20130325105555|FKU-1A|||//3/27/2013 12:28:07 AM
CAD_U|CAFKU|D4341|AIQ|20130325105555|FKU-1A|||//3/27/2013 12:28:07 AM
CAD_U|CABEU|E4663|AIQ|20130323075845|BEU-30|||//3/27/2013 12:28:07 AM
CAD_U|CABEU|E4663|AIQ|20130323075845|BEU-30|||//3/27/2013 12:28:07 AM
CAD_U|CABEU|E4663|AIQ|20130323075845|BEU-30|||//3/27/2013 12:28:07 AM
CAD_U|CABEU|D4645|AIQ|20130323075417|BEU-30|||//3/27/2013 12:28:08 AM
CAD_U|CABEU|D4645|AIQ|20130323075417|BEU-30|||//3/27/2013 12:28:08 AM
CAD_U|CABEU|D4645|AIQ|20130323075417|BEU-30|||//3/27/2013 12:28:08 AM
