CAD_U|CASLU|D3442|AIQ|20130806075725|R-8B|||//8/7/2013 12:01:00 AM
CAD_U|CASLU|CUE2|AIQ|20130807000114|A-10B|||//8/7/2013 12:01:14 AM
CAD_U|CASLU|D3406|AOR|20130807000123|A-36F|||//8/7/2013 12:01:22 AM
CAD_U|CASLU|D3406|AIQ|20130807000126|A-36F|||//8/7/2013 12:01:25 AM
CAD_U|CASLU|D3406|AIQ|20130807000126|A-36F|||//8/7/2013 12:01:30 AM
CAD_U|CASLU|D3402|AIQ|20130807000146|A-36H|||//8/7/2013 12:01:46 AM
CAD_E|CACAY13007631|CASLU||20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3|||||Command:CO CMD 3;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:03:48 AM
CAD_U|CASLU|B3416|RTQ|20130807000355|A-22B|13007630|FSC|CASLU2013006293//8/7/2013 12:03:54 AM
CAD_E|CACAY13007631|CASLU||20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3|||||Command:CO CMD 3;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:03:56 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||ECAY,E3469|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:04:08 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||ECAY,E3469|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:04:08 AM
CAD_U|CACAY|ECAY|DSP|20130807000408|B-7B|13007631|PAO|CASLU2013006294//8/7/2013 12:04:08 AM
CAD_U|CASLU|E3469|DSP|20130807000408|B-7A|13007631|PAO|CASLU2013006294//8/7/2013 12:04:08 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||ECAY,E3469|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:04:44 AM
CAD_U|CASLU|E3469|DSP|20130807000408|B-7A|13007631|PAO|CASLU2013006294//8/7/2013 12:06:09 AM
CAD_U|CACAY|ECAY|DSP|20130807000408|B-7B|13007631|PAO|CASLU2013006294//8/7/2013 12:06:09 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||ECAY,E3469,5628|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:06:18 AM
CAD_E|CACAY13007631|CASLU2013006294|PACIFIC AVE  CAY|20130807000349|PAO|PA, PUBLIC ASSIST|-120.889816|35.436477|2098 PACIFIC AVE |CAY|34 BLK 20TH ST|1 BLK 21ST ST|591_B_3||||ECAY,E3469,5628|Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//8/7/2013 12:06:19 AM
CAD_U|CACAY|5628|ENR|20130807000619|B-7B|13007631|PAO|CASLU2013006294//8/7/2013 12:06:19 AM
CAD_U|CACAY|5628|ENR|20130807000619|B-7B|13007631|PAO|CASLU2013006294//8/7/2013 12:06:19 AM
CAD_U|CACDF|C406|AIQ|20130804160301|BVHB|||//8/7/2013 12:08:03 AM
CAD_U|CACDF|C406|AIQ|20130804160301|BVHB|||//8/7/2013 12:08:03 AM
CAD_U|CACDF|C406|AIQ|20130804160301|BVHB|||//8/7/2013 12:08:03 AM
CAD_U|CAFKU|D4340|AIQ|20130609174328|FKU-1A|||//8/7/2013 12:08:05 AM
CAD_U|CAFKU|D4340|AIQ|20130609174328|FKU-1A|||//8/7/2013 12:08:05 AM
CAD_U|CAFKU|D4340|AIQ|20130609174328|FKU-1A|||//8/7/2013 12:08:05 AM
CAD_U|CAFKU|D4341|AIQ|20130707152524|FKU-1A|||//8/7/2013 12:08:06 AM
CAD_U|CAFKU|D4341|AIQ|20130707152524|FKU-1A|||//8/7/2013 12:08:06 AM
CAD_U|USPVT|DHALL|AIQ|20130725171838|FKU-1A|||//8/7/2013 12:08:07 AM
CAD_U|USPVT|DHALL|AIQ|20130725171838|FKU-1A|||//8/7/2013 12:08:07 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//8/7/2013 12:08:08 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//8/7/2013 12:08:08 AM
CAD_U|CABEU|D4641|AIQ|20130719080036|BEU-30|||//8/7/2013 12:08:08 AM
CAD_U|CABEU|D4643|AIQ|20130804211514|BEU-30|||//8/7/2013 12:08:09 AM
CAD_U|CABEU|D4643|AIQ|20130804211514|BEU-30|||//8/7/2013 12:08:09 AM
CAD_U|CABEU|D4643|AIQ|20130804211514|BEU-30|||//8/7/2013 12:08:09 AM
CAD_U|CASLU|E3469|ENR|20130807000810|B-7A|13007631|PAO|CASLU2013006294//8/7/2013 12:08:10 AM
CAD_U|CASLU|E3469|ENR|20130807000810|B-7A|13007631|PAO|CASLU2013006294//8/7/2013 12:08:10 AM
CAD_U|CABEU|E4661|AIQ|20130626114912|BEU-30|||//8/7/2013 12:08:10 AM
CAD_U|CABEU|E4661|AIQ|20130626114912|BEU-30|||//8/7/2013 12:08:10 AM
CAD_U|CABEU|E4661|AIQ|20130626114912|BEU-30|||//8/7/2013 12:08:10 AM
CAD_U|CABEU|E4663|AIQ|20130805120119|BEU-30|||//8/7/2013 12:08:11 AM
CAD_U|CABEU|E4663|AIQ|20130805120119|BEU-30|||//8/7/2013 12:08:12 AM
CAD_U|CABEU|E4663|AIQ|20130805120119|BEU-30|||//8/7/2013 12:08:12 AM
CAD_U|CABEU|E4664|AIQ|20130725102321|BEU-31|||//8/7/2013 12:08:13 AM
CAD_U|CABEU|E4664|AIQ|20130725102321|BEU-31|||//8/7/2013 12:08:13 AM
CAD_U|CABEU|E4665|AIQ|20130518151336|BEU-30|||//8/7/2013 12:08:14 AM
CAD_U|CABEU|E4665|AIQ|20130518151336|BEU-30|||//8/7/2013 12:08:14 AM
CAD_U|CABEU|E4665|AIQ|20130518151336|BEU-30|||//8/7/2013 12:08:14 AM
CAD_U|CABEU|E4666|AIQ|20130720144104|BEU-30|||//8/7/2013 12:08:15 AM
CAD_U|CABEU|E4666|AIQ|20130720144104|BEU-30|||//8/7/2013 12:08:15 AM
CAD_U|CABEU|E4666|AIQ|20130720144104|BEU-30|||//8/7/2013 12:08:15 AM
CAD_U|CABEU|E4669|AIQ|20130805082554|BEU-30|||//8/7/2013 12:08:16 AM
CAD_U|CABEU|E4669|AIQ|20130805082554|BEU-30|||//8/7/2013 12:08:16 AM
