CAD_E|CASLC13010396//10/17/2013 12:01:35 AM
CAD_U|CACMB|E5791|AIQ|20131017000135|G-16B|||//10/17/2013 12:01:35 AM
CAD_E|CASLC13010396//10/17/2013 12:01:50 AM
CAD_U|CACDF|C406|AIQ|20130501131824|BVHB|||//10/17/2013 12:11:38 AM
CAD_U|CACDF|C406|AIQ|20130501131824|BVHB|||//10/17/2013 12:11:38 AM
CAD_U|CABEU|D4641|AIQ|20130422080903|BEU-30|||//10/17/2013 12:11:39 AM
CAD_U|CABEU|D4641|AIQ|20130422080903|BEU-30|||//10/17/2013 12:11:39 AM
CAD_U|CABEU|D4641|AIQ|20130422080903|BEU-30|||//10/17/2013 12:11:39 AM
CAD_U|CABEU|D4643|AIQ|20130418080004|BEU-30|||//10/17/2013 12:11:40 AM
CAD_U|CABEU|D4643|AIQ|20130418080004|BEU-30|||//10/17/2013 12:11:40 AM
CAD_U|CABEU|D4643|AIQ|20130418080004|BEU-30|||//10/17/2013 12:11:40 AM
CAD_U|CABEU|D4645|AIQ|20130412102604|BEU-30|||//10/17/2013 12:11:41 AM
CAD_U|CABEU|D4645|AIQ|20130412102604|BEU-30|||//10/17/2013 12:11:41 AM
CAD_U|CABEU|D4645|AIQ|20130412102604|BEU-30|||//10/17/2013 12:11:41 AM
CAD_U|CAFKU|D4341|AIQ|20130424211101|FKU-1A|||//10/17/2013 12:11:42 AM
CAD_U|CAFKU|D4341|AIQ|20130424211101|FKU-1A|||//10/17/2013 12:11:43 AM
CAD_U|CAFKU|E4353|AIQ|20130406163917|FKU-2|||//10/17/2013 12:11:44 AM
CAD_U|CAFKU|E4353|AIQ|20130406163917|FKU-2|||//10/17/2013 12:11:44 AM
CAD_U|CAFKU|E4353|AIQ|20130406163917|FKU-2|||//10/17/2013 12:11:44 AM
CAD_U|CAFKU|E4354|AIQ|20130301093917|FKU-1A|||//10/17/2013 12:11:45 AM
CAD_U|CAFKU|E4354|AIQ|20130301093917|FKU-1A|||//10/17/2013 12:11:45 AM
CAD_U|CAFKU|E4361|AIQ|20130424215721|FKU-1A|||//10/17/2013 12:11:46 AM
CAD_U|CAFKU|E4361|AIQ|20130424215721|FKU-1A|||//10/17/2013 12:11:46 AM
CAD_U|CAFKU|E4361|AIQ|20130424215721|FKU-1A|||//10/17/2013 12:11:46 AM
CAD_U|CAFKU|E4362|AIQ|20130403120145|FKU-2|||//10/17/2013 12:11:47 AM
