CAD_U|CASLC|E50|AIQ|20140401000923|C-7A|||//4/1/2014 12:09:23 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 12:27:22 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 12:27:22 AM
CAD_U|CAFKU|D4340|AIQ|20140327073722|FKU-1A|||//4/1/2014 12:27:22 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 12:27:23 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 12:27:23 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/1/2014 12:27:23 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 12:27:25 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 12:27:25 AM
CAD_U|CABEU|D4641|AIQ|20140324080456|BEU-30|||//4/1/2014 12:27:25 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 12:27:26 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 12:27:26 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/1/2014 12:27:26 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 12:27:27 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 12:27:27 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/1/2014 12:27:27 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 12:27:28 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 12:27:28 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/1/2014 12:27:28 AM
CAD_U|CABEU|E4664|AIQ|20140331121958|BEU-31|||//4/1/2014 12:27:30 AM
CAD_U|CABEU|E4664|AIQ|20140331121958|BEU-31|||//4/1/2014 12:27:30 AM
