CAD_U|CASLU|B3416|RTQ|20140417234335|LEE|14004623|FFA|CASLU2014003362//4/18/2014 12:08:39 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/18/2014 12:43:10 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/18/2014 12:43:11 AM
CAD_U|CACDF|C406|AIQ|20140321190453|BVHB|||//4/18/2014 12:43:11 AM
CAD_U|CABEU|D4641|AIQ|20140406095417|BEU-30|||//4/18/2014 12:43:12 AM
CAD_U|CABEU|D4641|AIQ|20140406095417|BEU-30|||//4/18/2014 12:43:12 AM
CAD_U|CABEU|D4641|AIQ|20140406095417|BEU-30|||//4/18/2014 12:43:12 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/18/2014 12:43:13 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/18/2014 12:43:13 AM
CAD_U|CABEU|D4643|AIQ|20140130092806|BEU-30|||//4/18/2014 12:43:13 AM
CAD_U|CABEU|D4645|AIQ|20140406095427|BEU-30|||//4/18/2014 12:43:14 AM
CAD_U|CABEU|D4645|AIQ|20140406095427|BEU-30|||//4/18/2014 12:43:14 AM
CAD_U|CABEU|D4645|AIQ|20140406095427|BEU-30|||//4/18/2014 12:43:14 AM
CAD_U|CAFKU|D4340|AIQ|20140409092445|FKU-1A|||//4/18/2014 12:43:15 AM
CAD_U|CAFKU|D4340|AIQ|20140409092445|FKU-1A|||//4/18/2014 12:43:15 AM
CAD_U|CAFKU|D4340|AIQ|20140409092445|FKU-1A|||//4/18/2014 12:43:15 AM
CAD_U|CAFKU|D4341|AIQ|20140417064317|FKU-1A|||//4/18/2014 12:43:17 AM
CAD_U|CAFKU|D4341|AIQ|20140417064317|FKU-1A|||//4/18/2014 12:43:17 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//4/18/2014 12:43:18 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//4/18/2014 12:43:18 AM
CAD_U|CAFKU|E4352|AIQ|20140401100511|FKU-2|||//4/18/2014 12:43:18 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/18/2014 12:43:19 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/18/2014 12:43:19 AM
CAD_U|CAFKU|E4353|AIQ|20140220103447|FKU-2|||//4/18/2014 12:43:19 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/18/2014 12:43:20 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/18/2014 12:43:20 AM
CAD_U|CABEU|E4661|AIQ|20140320112214|BEU-30|||//4/18/2014 12:43:20 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/18/2014 12:43:21 AM
CAD_U|CABEU|E4663|AIQ|20140331101209|BEU-30|||//4/18/2014 12:43:22 AM
