CAD_U|CASLU|E3467|AIQ|20140623000622|E-19B||MTC|//6/23/2014 12:06:21 AM
CAD_E|CASLU14007726|CASLU||20140623010001|OAM|OTH, MISCELLANEOUS|-120.676175|35.301597|12 @ 635 N SANTA ROSA ST |SLO_CO| CAL FIRE SLU HEADQUARTERS DRIVEWAY| HWY 1 CONNECTOR|653_H_1|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//6/23/2014 1:00:01 AM
CAD_E|CASLU14007726|CASLU||20140623010001|OAM|OTH, MISCELLANEOUS|-120.676175|35.301597|12 @ 635 N SANTA ROSA ST |SLO_CO| CAL FIRE SLU HEADQUARTERS DRIVEWAY| HWY 1 CONNECTOR|653_H_1|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//6/23/2014 1:02:05 AM
CAD_E|CASLU14007726//6/23/2014 1:21:59 AM
CAD_E|CASLU14007726//6/23/2014 1:22:15 AM
CAD_U|CACDF|C406|AIQ|20140531113743|BVHB|||//6/23/2014 1:27:32 AM
CAD_U|CACDF|C406|AIQ|20140531113743|BVHB|||//6/23/2014 1:27:32 AM
CAD_U|CACDF|C406|AIQ|20140531113743|BVHB|||//6/23/2014 1:27:32 AM
CAD_U|CABEU|D4641|AIQ|20140531080222|BEU-30|||//6/23/2014 1:27:33 AM
CAD_U|CABEU|D4641|AIQ|20140531080222|BEU-30|||//6/23/2014 1:27:33 AM
CAD_U|CABEU|D4641|AIQ|20140531080222|BEU-30|||//6/23/2014 1:27:33 AM
CAD_U|CABEU|D4643|AIQ|20140530074336|BEU-30|||//6/23/2014 1:27:34 AM
CAD_U|CABEU|D4643|AIQ|20140530074336|BEU-30|||//6/23/2014 1:27:34 AM
CAD_U|CABEU|D4643|AIQ|20140530074336|BEU-30|||//6/23/2014 1:27:34 AM
CAD_U|CABEU|E4661|AIQ|20140605061926|BEU-30|||//6/23/2014 1:27:35 AM
CAD_U|CABEU|E4661|AIQ|20140605061926|BEU-30|||//6/23/2014 1:27:35 AM
CAD_U|CABEU|E4661|AIQ|20140605061926|BEU-30|||//6/23/2014 1:27:35 AM
CAD_U|CABEU|E4663|AIQ|20140528095347|BEU-30|||//6/23/2014 1:27:36 AM
CAD_U|CABEU|E4663|AIQ|20140528095347|BEU-30|||//6/23/2014 1:27:36 AM
CAD_U|CABEU|E4663|AIQ|20140528095347|BEU-30|||//6/23/2014 1:27:36 AM
CAD_U|CABEU|E4664|AIQ|20140621084832|BEU-31|||//6/23/2014 1:27:37 AM
CAD_U|CABEU|E4664|AIQ|20140621084832|BEU-31|||//6/23/2014 1:27:37 AM
CAD_U|CABEU|E4664|AIQ|20140621084832|BEU-31|||//6/23/2014 1:27:37 AM
CAD_U|CABEU|E4665|AIQ|20140617181113|BEU-30|||//6/23/2014 1:27:38 AM
CAD_U|CABEU|E4665|AIQ|20140617181113|BEU-30|||//6/23/2014 1:27:39 AM
CAD_U|CABEU|E4665|AIQ|20140617181113|BEU-30|||//6/23/2014 1:27:39 AM
CAD_U|CAFKU|D4340|AIQ|20140424074806|FKU-1A|||//6/23/2014 1:27:40 AM
