CAD_E|CASLC14008910//7/17/2014 12:03:07 AM
CAD_U|CABOB|E8965|AIQ|20140717000307|CR-18A|||//7/17/2014 12:03:07 AM
CAD_E|CASLC14008910//7/17/2014 12:03:23 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:27:50 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:27:50 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:27:50 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:31:39 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:31:39 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:31:39 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:14 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:14 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:14 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:21 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:21 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:21 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:26 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:26 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:26 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:31 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 12:39:31 AM
CAD_E|CASLU14008911|CASLU||20140717010001|OAM|OTH, MISCELLANEOUS|-120.676175|35.301597|12 @ 635 N SANTA ROSA ST |SLO_CO| CAL FIRE SLU HEADQUARTERS DRIVEWAY| STENNER CREEK|653_H_1|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:00:00 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:01:11 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:01:11 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:01:11 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:02:00 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:02:00 AM
CAD_U|CAFKU|E4370|AIQ|20140711130411|FKU-1A|||//7/17/2014 1:02:00 AM
CAD_E|CASLU14008911|CASLU||20140717010001|OAM|OTH, MISCELLANEOUS|-120.676175|35.301597|12 @ 635 N SANTA ROSA ST |SLO_CO| CAL FIRE SLU HEADQUARTERS DRIVEWAY| STENNER CREEK|653_H_1|||||Command:LOCAL;Pri Tactical:CALCORD;Alt Tactical: ;Air-to-Ground:CDF A/G;//7/17/2014 1:02:03 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:08:03 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:08:03 AM
CAD_U|CABEU|E4693|AIQ|20140617172542|BEU-30|||//7/17/2014 1:08:03 AM
CAD_U|CACDF|C406|AIQ|20140712153256|BVHB|||//7/17/2014 1:11:36 AM
CAD_U|CACDF|C406|AIQ|20140712153256|BVHB|||//7/17/2014 1:11:36 AM
CAD_U|CACDF|C406|AIQ|20140712153256|BVHB|||//7/17/2014 1:11:36 AM
CAD_U|CABEU|D4641|AIQ|20140713152556|BEU-30|||//7/17/2014 1:11:37 AM
CAD_U|CABEU|D4641|AIQ|20140713152556|BEU-30|||//7/17/2014 1:11:37 AM
CAD_U|CABEU|D4641|AIQ|20140713152556|BEU-30|||//7/17/2014 1:11:37 AM
CAD_U|CABEU|D46E1|AIQ|20140714120216|BEU-30|||//7/17/2014 1:11:39 AM
