CAD_E|CASLU15003291|CASLU2015002314|NEAL|20150307223549|FVP|FIRE, VEH PASSENGER|-120.668354|35.561882|2100 NEAL SPRING RD / 2000 EL POMAR DR |SLO_CO|||533_J_7|||||Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/8/2015 12:00:02 AM
CAD_E|CASLU15003291|CASLU2015002314|NEAL|20150307223549|FVP|FIRE, VEH PASSENGER|-120.668354|35.561882|2100 NEAL SPRING RD / 2000 EL POMAR DR |SLO_CO|||533_J_7|||||Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/8/2015 12:00:02 AM
CAD_U|CASLC|E30|AOR|20150308000002|R-17A|||//3/8/2015 12:00:02 AM
CAD_U|CASLC|E33|DSP|20150307235815|H-6A|15003294|FOD|CASLU2015002316//3/8/2015 12:00:16 AM
CAD_E|CASLU15003291|CASLU2015002314|NEAL|20150307223549|FVP|FIRE, VEH PASSENGER|-120.668354|35.561882|2100 NEAL SPRING RD / 2000 EL POMAR DR |SLO_CO|||533_J_7|||||Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical: ;Air-to-Ground:CDF A/G;//3/8/2015 12:00:38 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5||||E33|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:00:39 AM
CAD_U|CASLC|E33|ENR|20150308000039|H-6A|15003294|FOD|CASLU2015002316//3/8/2015 12:00:39 AM
CAD_U|CASLC|E33|ENR|20150308000039|H-6A|15003294|FOD|CASLU2015002316//3/8/2015 12:00:39 AM
CAD_E|CASLU15003291//3/8/2015 12:00:40 AM
CAD_E|CASLU15003291//3/8/2015 12:00:56 AM
CAD_U|CASLC|E30|AIQ|20150308000808|R-17A|||//3/8/2015 12:08:08 AM
CAD_E|CASLC15003276//3/8/2015 12:08:23 AM
CAD_E|CASLC15003276//3/8/2015 12:08:38 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5||||E33|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:11:00 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5||||E33|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:11:21 AM
CAD_U|CASLC|E33|IAO|20150308001121|H-6A|15003294|FOD|CASLU2015002316//3/8/2015 12:11:22 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5||||E33|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:19:34 AM
CAD_U|CASLC|E33|ONS|20150308001934|H-6A|15003294|FOD|CASLU2015002316//3/8/2015 12:19:34 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5||||E33|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:29:26 AM
CAD_E|CASLU15003294|CASLU2015002316|HARBOR CIR  SLO_CO|20150307235800|FOD|FIRE, DEBRIS|-120.897081|35.726738|3334 HARBOR CIR |SLO_CO|4500 BLK CREEKSIDE LN| DEAD-END|471_A_5||||E33|Command:LOCAL;Pri Tactical:VFIRE22;Alt Tactical:VFIRE22;Air-to-Ground:CDF A/G;//3/8/2015 12:29:30 AM
CAD_U|CASLC|E33|RTQ|20150308002930|H-6A|15003294|FOD|CASLU2015002316//3/8/2015 12:29:30 AM
CAD_U|CABEU|D4643|AIQ|20150226075243|BEU-30|||//3/8/2015 12:40:11 AM
CAD_U|CABEU|D4643|AIQ|20150226075243|BEU-30|||//3/8/2015 12:40:11 AM
CAD_U|CABEU|D4643|AIQ|20150226075243|BEU-30|||//3/8/2015 12:40:11 AM
CAD_U|CABEU|E4661|AIQ|20150113150605|BEU-30|||//3/8/2015 12:40:11 AM
CAD_U|CABEU|E4661|AIQ|20150113150605|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4661|AIQ|20150113150605|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4673|AIQ|20150119155153|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4673|AIQ|20150119155153|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4673|AIQ|20150119155153|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4675|AIQ|20150123101523|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4675|AIQ|20150123101523|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4675|AIQ|20150123101523|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4677|AIQ|20150123165645|BEU-30|||//3/8/2015 12:40:12 AM
CAD_U|CABEU|E4677|AIQ|20150123165645|BEU-30|||//3/8/2015 12:40:12 AM
