CAD_E|CASLC15019130|CASLU2015013338|EMS3CDF/|20151222234226|MED|MEDICAL AID CODE 3|-120.845662|35.360038|670 OLIVE ST ||400 BLK SHASTA AVE|430 BLK PINEY WAY|633_B_5/633_B_5||||E5392|Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical:VFIRE24;Air-to-Ground:CDF A/G 1;//12/23/2015 12:04:52 AM
CAD_U|CAMRB|E5392|RTQ|20151223000451|B-11C|15019130|MED|CASLU2015013338//12/23/2015 12:04:52 AM
CAD_E|CASLC15019130|CASLU2015013338|EMS3CDF/|20151222234226|MED|MEDICAL AID CODE 3|-120.845662|35.360038|670 OLIVE ST ||400 BLK SHASTA AVE|430 BLK PINEY WAY|633_B_5/633_B_5|||||Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical:VFIRE24;Air-to-Ground:CDF A/G 1;//12/23/2015 12:12:30 AM
CAD_E|CASLC15019130|CASLU2015013338|EMS3CDF/|20151222234226|MED|MEDICAL AID CODE 3|-120.845662|35.360038|670 OLIVE ST ||400 BLK SHASTA AVE|430 BLK PINEY WAY|633_B_5/633_B_5|||||Command:BAY CMD;Pri Tactical:CALCORD;Alt Tactical:VFIRE24;Air-to-Ground:CDF A/G 1;//12/23/2015 12:12:30 AM
CAD_U|CAMRB|E5392|AIQ|20151223001229|B-11C|||//12/23/2015 12:12:30 AM
CAD_U|CACDF|C406|AIQ|20151201123926|BVHB|||//12/23/2015 12:14:43 AM
CAD_U|CACDF|C406|AIQ|20151201123926|BVHB|||//12/23/2015 12:14:43 AM
CAD_U|CACDF|C406|AIQ|20151201123926|BVHB|||//12/23/2015 12:14:43 AM
CAD_U|CABEU|D4641|AIQ|20151218192647|BEU-30|||//12/23/2015 12:14:44 AM
CAD_U|CABEU|D4641|AIQ|20151218192647|BEU-30|||//12/23/2015 12:14:44 AM
CAD_U|CABEU|D4641|AIQ|20151218192647|BEU-30|||//12/23/2015 12:14:44 AM
CAD_U|CABEU|D4643|AIQ|20151103065045|BEU-30|||//12/23/2015 12:14:44 AM
CAD_U|CABEU|D4643|AIQ|20151103065045|BEU-30|||//12/23/2015 12:14:44 AM
CAD_U|CABEU|D4643|AIQ|20151103065045|BEU-30|||//12/23/2015 12:14:44 AM
CAD_U|CABEU|D4645|AIQ|20151103065827|BEU-30|||//12/23/2015 12:14:46 AM
CAD_U|CABEU|D4645|AIQ|20151103065827|BEU-30|||//12/23/2015 12:14:46 AM
CAD_U|CABEU|D4645|AIQ|20151103065827|BEU-30|||//12/23/2015 12:14:46 AM
CAD_U|CAFKU|D4340|AIQ|20150918184258|FKU-1A|||//12/23/2015 12:14:46 AM
CAD_U|CAFKU|D4340|AIQ|20150918184258|FKU-1A|||//12/23/2015 12:14:46 AM
CAD_U|CAFKU|D4340|AIQ|20150918184258|FKU-1A|||//12/23/2015 12:14:46 AM
CAD_U|CABEU|E4661|AIQ|20151204102854|BEU-30|||//12/23/2015 12:14:46 AM
CAD_U|CABEU|E4661|AIQ|20151204102854|BEU-30|||//12/23/2015 12:14:46 AM
CAD_U|CABEU|E4661|AIQ|20151204102854|BEU-30|||//12/23/2015 12:14:46 AM
