CAD_U|CASLC|WT50|RTQ|20160608234641|C-7A|16008363|FSR|CASLU2016006104//6/9/2016 12:11:44 AM
CAD_E|CASLU16008363|CASLU2016006104|FAROUSSE|20160608164513|FSR|FIRE, RESIDENTIAL|-120.598113|35.671315|4820 FAROUSSE WAY |SLO_CO|5499 BLK WEEPING WILLOW WAY|5500 BLK DUSTY PL|494_H_6||||B3413|Command:XSL CMD 4;Pri Tactical:VFIRE22;Alt Tactical:VFIRE23;Air-to-Ground:CDF A/G 1;//6/9/2016 12:13:58 AM
CAD_U|CASLC|WT50|AIQ|20160609001358|C-7A|||//6/9/2016 12:13:58 AM
CAD_E|CASLU16008363|CASLU2016006104|FAROUSSE|20160608164513|FSR|FIRE, RESIDENTIAL|-120.598113|35.671315|4820 FAROUSSE WAY |SLO_CO|5499 BLK WEEPING WILLOW WAY|5500 BLK DUSTY PL|494_H_6|||||Command:XSL CMD 4;Pri Tactical:VFIRE22;Alt Tactical:VFIRE23;Air-to-Ground:CDF A/G 1;//6/9/2016 12:14:02 AM
CAD_E|CASLU16008363|CASLU2016006104|FAROUSSE|20160608164513|FSR|FIRE, RESIDENTIAL|-120.598113|35.671315|4820 FAROUSSE WAY |SLO_CO|5499 BLK WEEPING WILLOW WAY|5500 BLK DUSTY PL|494_H_6|||||Command:XSL CMD 4;Pri Tactical:VFIRE22;Alt Tactical:VFIRE23;Air-to-Ground:CDF A/G 1;//6/9/2016 12:14:03 AM
CAD_U|CASLU|B3413|AIQ|20160609001402|R-17B|||//6/9/2016 12:14:03 AM
CAD_E|CASLU16008363|CASLU2016006104|FAROUSSE|20160608164513|FSR|FIRE, RESIDENTIAL|-120.598113|35.671315|4820 FAROUSSE WAY |SLO_CO|5499 BLK WEEPING WILLOW WAY|5500 BLK DUSTY PL|494_H_6|||||Command:XSL CMD 4;Pri Tactical:VFIRE22;Alt Tactical:VFIRE23;Air-to-Ground:CDF A/G 1;//6/9/2016 12:14:05 AM
CAD_E|CASLU16008363//6/9/2016 12:14:07 AM
CAD_E|CASLU16008363//6/9/2016 12:14:23 AM
CAD_U|CASLU|E3462|AOR|20160609001449|R-17A|||//6/9/2016 12:14:49 AM
CAD_U|CASLU|E3462|AIQ|20160609001453|R-17A|||//6/9/2016 12:14:53 AM
CAD_U|CACDF|AA460|AIQ|20160531100148|HAAB|||//6/9/2016 12:22:41 AM
CAD_U|CACDF|AA460|AIQ|20160531100148|HAAB|||//6/9/2016 12:22:41 AM
CAD_U|CACDF|AA460|AIQ|20160531100148|HAAB|||//6/9/2016 12:22:41 AM
CAD_U|CACDF|C406|AIQ|20160606112638|BVHB|||//6/9/2016 12:22:41 AM
CAD_U|CACDF|C406|AIQ|20160606112638|BVHB|||//6/9/2016 12:22:41 AM
CAD_U|CACDF|C406|AIQ|20160606112638|BVHB|||//6/9/2016 12:22:41 AM
CAD_U|CACDF|C902|AIQ|20160606114409|BVHB|||//6/9/2016 12:22:41 AM
CAD_U|CACDF|C902|AIQ|20160606114409|BVHB|||//6/9/2016 12:22:41 AM
CAD_U|CACDF|C902|AIQ|20160606114409|BVHB|||//6/9/2016 12:22:41 AM
CAD_U|CABEU|D4641|AIQ|20160606103329|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CABEU|D4641|AIQ|20160606103329|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CABEU|D4641|AIQ|20160606103329|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CABEU|D4643|AIQ|20160515093629|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CABEU|D4643|AIQ|20160515093629|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CABEU|D4643|AIQ|20160515093629|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CABEU|D4645|AIQ|20160603133222|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CABEU|D4645|AIQ|20160603133222|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CABEU|D4645|AIQ|20160603133222|BEU-30|||//6/9/2016 12:22:42 AM
CAD_U|CASLU|E3461|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:43 AM
CAD_U|CASLU|E3461|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:43 AM
CAD_U|CASLU|E3461|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:43 AM
CAD_U|CASLU|E3461|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:43 AM
CAD_U|CAFKU|D4340|AIQ|20160522180050|FKU-1A|||//6/9/2016 12:22:43 AM
CAD_U|CAFKU|D4340|AIQ|20160522180050|FKU-1A|||//6/9/2016 12:22:43 AM
CAD_U|CAFKU|D4340|AIQ|20160522180050|FKU-1A|||//6/9/2016 12:22:43 AM
CAD_U|CASLU|E3465|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:44 AM
CAD_U|CASLU|E3466|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:44 AM
CAD_U|CASLU|E3470|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:44 AM
CAD_U|CASLU|E3470|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:44 AM
CAD_U|CASLU|E3470|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:44 AM
CAD_U|CASLU|E3470|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:44 AM
CAD_U|CASLU|E3472|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:45 AM
CAD_U|CASLU|E3472|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:45 AM
CAD_U|CASLU|E3472|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:45 AM
CAD_U|CASLU|E3472|ONS|20160608121350|OOU|16008328|OAC|CABEU2016002547//6/9/2016 12:22:45 AM
CAD_U|CAFKU|D4341|AIQ|20160515075330|FKU-1A|||//6/9/2016 12:22:45 AM
CAD_U|CAFKU|D4341|AIQ|20160515075330|FKU-1A|||//6/9/2016 12:22:45 AM
CAD_U|CAFKU|E4352|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:46 AM
CAD_U|CAFKU|E4352|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:46 AM
CAD_U|CAFKU|E4352|AIQ|20160608085544|FKU-2|||//6/9/2016 12:22:46 AM
CAD_U|CABEU|E4661|AIQ|20160603193209|BEU-30|||//6/9/2016 12:22:46 AM
CAD_U|CABEU|E4661|AIQ|20160603193209|BEU-30|||//6/9/2016 12:22:46 AM
CAD_U|CABEU|E4661|AIQ|20160603193209|BEU-30|||//6/9/2016 12:22:46 AM
CAD_U|CABEU|E4663|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:46 AM
CAD_U|CABEU|E4663|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:47 AM
CAD_U|CABEU|E4663|AIQ|20160520192002|BEU-30|||//6/9/2016 12:22:47 AM
CAD_U|CABEU|E4664|AIQ|20160228222331|BEU31A|||//6/9/2016 12:22:47 AM
CAD_U|CABEU|E4664|AIQ|20160228222331|BEU31A|||//6/9/2016 12:22:47 AM
