CAD_U|CASLU|ECC|AIQ|20160517224705|A-36C|||//6/13/2016 12:00:05 AM
CAD_U|CASLU|ECC-S|OFF//6/13/2016 12:00:12 AM
CAD_U|CAFKU|E4371|AIQ|20160611092557|FKU-2|||//6/13/2016 12:02:49 AM
CAD_U|CAFKU|E4371|AIQ|20160611092557|FKU-2|||//6/13/2016 12:02:49 AM
CAD_U|CAFKU|E4371|AIQ|20160611092557|FKU-2|||//6/13/2016 12:02:49 AM
CAD_U|CASLU|B3409|AIQ|20160613000253|A-36G|||//6/13/2016 12:02:54 AM
CAD_U|CASLU|B3420|AIQ|20160613000253|A-36F|||//6/13/2016 12:02:54 AM
CAD_U|CASLU|B3409|AIQ|20160613000253|A-36G|||//6/13/2016 12:02:54 AM
CAD_U|CASLU|B3420|AIQ|20160613000253|A-36F|||//6/13/2016 12:02:54 AM
CAD_U|CASLU|B3409|AIQ|20160613000253|A-36G|||//6/13/2016 12:02:57 AM
CAD_U|CASLU|B3420|AIQ|20160613000253|A-36F|||//6/13/2016 12:02:58 AM
CAD_U|CASLU|D3440|AIQ|20160611172327|A-36J|||//6/13/2016 12:06:07 AM
CAD_U|CASLU|D3441|AIQ|20160610080256|K-11C|||//6/13/2016 12:06:17 AM
CAD_U|CASLU|D3442|AIQ|20160611193700|R-8B|||//6/13/2016 12:07:11 AM
CAD_U|CASLU|P3427|AIQ|20160613000811|A-36E|||//6/13/2016 12:08:12 AM
CAD_U|CASLU|R3433|AIQ|20160613000811|A-10B|||//6/13/2016 12:08:12 AM
CAD_U|CASLU|R3434|AIQ|20160613000811|VNT|||//6/13/2016 12:08:12 AM
CAD_U|CASLU|P3427|AIQ|20160613000811|A-36E|||//6/13/2016 12:08:12 AM
CAD_U|CASLU|T3439|AIQ|20160613000818|B-15B|||//6/13/2016 12:08:18 AM
CAD_U|CASLU|T3439|AIQ|20160613000818|B-15B|||//6/13/2016 12:08:18 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 12:09:42 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 12:09:42 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 12:09:42 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 12:14:46 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 12:14:46 AM
CAD_U|CAFKU|E4373|AIQ|20160520100652|FKU-2|||//6/13/2016 12:14:46 AM
CAD_U|CACDF|AA460|AIQ|20160531100148|HAAB|||//6/13/2016 1:01:48 AM
CAD_U|CACDF|AA460|AIQ|20160531100148|HAAB|||//6/13/2016 1:01:48 AM
CAD_U|CACDF|AA460|AIQ|20160531100148|HAAB|||//6/13/2016 1:01:48 AM
CAD_U|CACDF|C406|AIQ|20160609171941|BVHB|||//6/13/2016 1:01:48 AM
CAD_U|CACDF|C406|AIQ|20160609171941|BVHB|||//6/13/2016 1:01:48 AM
CAD_U|CACDF|C406|AIQ|20160609171941|BVHB|||//6/13/2016 1:01:48 AM
CAD_U|CABEU|D4641|AIQ|20160606103329|BEU-30|||//6/13/2016 1:01:48 AM
CAD_U|CABEU|D4641|AIQ|20160606103329|BEU-30|||//6/13/2016 1:01:48 AM
CAD_U|CABEU|D4641|AIQ|20160606103329|BEU-30|||//6/13/2016 1:01:48 AM
CAD_U|CABEU|D4643|AIQ|20160515093629|BEU-30|||//6/13/2016 1:01:48 AM
CAD_U|CABEU|D4643|AIQ|20160515093629|BEU-30|||//6/13/2016 1:01:48 AM
CAD_U|CABEU|D4643|AIQ|20160515093629|BEU-30|||//6/13/2016 1:01:48 AM
CAD_U|CABEU|D4645|AIQ|20160603133222|BEU-30|||//6/13/2016 1:01:49 AM
CAD_U|CABEU|D4645|AIQ|20160603133222|BEU-30|||//6/13/2016 1:01:49 AM
CAD_U|CABEU|D4645|AIQ|20160603133222|BEU-30|||//6/13/2016 1:01:49 AM
CAD_U|CAFKU|D4340|AIQ|20160522180050|FKU-1A|||//6/13/2016 1:01:49 AM
CAD_U|CAFKU|D4340|AIQ|20160522180050|FKU-1A|||//6/13/2016 1:01:49 AM
CAD_U|CAFKU|D4340|AIQ|20160522180050|FKU-1A|||//6/13/2016 1:01:49 AM
CAD_U|CAFKU|D4341|AIQ|20160515075330|FKU-1A|||//6/13/2016 1:01:49 AM
CAD_U|CAFKU|D4341|AIQ|20160515075330|FKU-1A|||//6/13/2016 1:01:49 AM
CAD_U|CAFKU|E4352|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:50 AM
CAD_U|CAFKU|E4352|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:50 AM
CAD_U|CAFKU|E4352|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:50 AM
CAD_U|CABEU|E4661|AIQ|20160603193209|BEU-30|||//6/13/2016 1:01:50 AM
CAD_U|CABEU|E4661|AIQ|20160603193209|BEU-30|||//6/13/2016 1:01:50 AM
CAD_U|CABEU|E4661|AIQ|20160603193209|BEU-30|||//6/13/2016 1:01:50 AM
CAD_U|CABEU|E4663|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4663|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4663|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4664|AIQ|20160228222331|BEU31A|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4664|AIQ|20160228222331|BEU31A|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4664|AIQ|20160228222331|BEU31A|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4665|AIQ|20160425075149|BEU-30|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4665|AIQ|20160425075149|BEU-30|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4665|AIQ|20160425075149|BEU-30|||//6/13/2016 1:01:51 AM
CAD_U|CABEU|E4666|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4666|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4666|AIQ|20160520192002|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4669|AIQ|20160526072047|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4669|AIQ|20160526072047|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4669|AIQ|20160526072047|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4673|AIQ|20160605095640|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4673|AIQ|20160605095640|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4673|AIQ|20160605095640|BEU-30|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4674|AIQ|20160519182743|BEU35A|||//6/13/2016 1:01:52 AM
CAD_U|CABEU|E4674|AIQ|20160519182743|BEU35A|||//6/13/2016 1:01:53 AM
CAD_U|CABEU|E4674|AIQ|20160519182743|BEU35A|||//6/13/2016 1:01:53 AM
CAD_U|CABEU|E4675|AIQ|20160509075741|BEU-30|||//6/13/2016 1:01:53 AM
CAD_U|CABEU|E4675|AIQ|20160509075741|BEU-30|||//6/13/2016 1:01:53 AM
CAD_U|CABEU|E4675|AIQ|20160509075741|BEU-30|||//6/13/2016 1:01:53 AM
CAD_U|CAFKU|E4353|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:53 AM
CAD_U|CAFKU|E4353|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:53 AM
CAD_U|CAFKU|E4353|AIQ|20160608085544|FKU-2|||//6/13/2016 1:01:53 AM
CAD_U|CAFKU|E4354|AIQ|20160608085544|FKU-1A|||//6/13/2016 1:01:53 AM
CAD_U|CAFKU|E4354|AIQ|20160608085544|FKU-1A|||//6/13/2016 1:01:53 AM
CAD_U|CABEU|E4676|AIQ|20160603081208|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4676|AIQ|20160603081208|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4676|AIQ|20160603081208|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4677|AIQ|20150520184739|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4677|AIQ|20150520184739|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4677|AIQ|20150520184739|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4681|AIQ|20160525062143|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4681|AIQ|20160525062143|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4681|AIQ|20160525062143|BEU-30|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4684|AIQ|20160612214002|BEU-19|||//6/13/2016 1:01:54 AM
CAD_U|CABEU|E4684|AIQ|20160612214002|BEU-19|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4685|AIQ|20160603154710|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4685|AIQ|20160603154710|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4685|AIQ|20160603154710|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/13/2016 1:01:55 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/13/2016 1:01:55 AM
CAD_U|CAFKU|E4361|AIQ|20160518190824|FKU-1A|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/13/2016 1:01:55 AM
CAD_U|CABEU|E4686|AIQ|20160524155617|BEU-30|||//6/13/2016 1:01:56 AM
